	Pro1	Pro2	Pro3	R2F01	R2F16
PB.91.5985	31	22	13	50	22
PB.91.6010	13	8	4	11	13
PB.91.6027	11	1	3	16	9
PB.91.6030	4	1	1	3	3
PB.91.6034	4	2	1	5	2
PB.91.6049	10	3	1	2	2
PB.91.6057	10	6	3	16	5
PB.91.6085	20	4	2	13	8
PB.91.6112	6	1	2	3	5
PB.91.6123	13	5	1	6	5
PB.91.6126	17	7	3	25	1
PB.91.6172	34	11	8	22	5
PB.91.6188	3	3	1	2	5
PB.91.6274	2	1	1	7	2
PB.91.6299	11	3	1	1	2
PB.91.6339	15	4	5	14	8
PB.91.6350	4	2	1	6	1
PB.91.6363	19	4	1	6	1
PB.91.6379	12	7	12	15	16
PB.91.6390	66	39	30	50	52
PB.91.6391	6	4	3	4	3
PB.91.6392	1	3	5	5	5
PB.91.6393	2	2	2	3	6
PB.91.6395	16	5	4	19	15
PB.91.6460	28	12	10	13	10
PB.91.6493	76	99	54	78	134
PB.91.6494	345	236	221	398	506
PB.91.6495	35	31	20	55	70
PB.91.6496	67	30	30	28	63
PB.91.6502	56	1	1	32	36
PB.91.6511	27	15	23	31	25
PB.91.6512	8	2	5	3	6
PB.91.6528	7	7	1	1	16
PB.91.6596	1	2	1	1	2
PB.91.6731	3	5	2	17	18
PB.91.6732	2	1	2	1	6
PB.91.6743	18	4	3	7	1
PB.91.6744	26	1	3	6	6
PB.91.6788	1	1	2	1	1
PB.91.6794	13	8	2	26	11
PB.91.6811	5	3	4	12	5
PB.91.6816	14	7	12	35	23
PB.91.6817	40	19	27	79	43
PB.91.6829	19	5	8	23	27
PB.91.6830	42	2	14	50	17
PB.91.6881	24	11	4	21	5
PB.91.6909	33	10	10	42	9
PB.91.6924	16	4	8	17	14
PB.91.6930	8	2	1	9	9
PB.91.6950	2	1	2	5	1
PB.91.6990	4	1	3	1	7
PB.91.7014	5	1	1	9	2
PB.91.7028	8	2	1	2	6
PB.91.7042	6	1	2	4	8
PB.91.7085	7	5	3	4	7
PB.91.7091	4	2	1	1	1
PB.91.7108	3	1	1	2	4
PB.91.7148	5	2	2	2	7
PB.91.7149	2	1	2	2	3
PB.91.7166	3	1	2	7	3
PB.91.7176	14	4	3	26	40
PB.91.7185	5	2	2	3	3
PB.91.7203	9	3	2	6	3
PB.91.7222	6	2	2	9	18
PB.91.7229	4	4	1	6	5
PB.91.7235	6	2	2	3	1
PB.91.7246	2	1	3	2	4
PB.91.7252	4	3	1	3	1
PB.91.7262	94	47	26	83	45
PB.91.7264	75	17	19	31	21
PB.91.7278	25	6	6	19	25
PB.91.7280	1	1	2	1	3
PB.91.7300	70	26	15	39	76
PB.91.7302	35	14	14	29	34
PB.91.7303	65	31	52	56	56
PB.91.7384	9	8	6	12	22
PB.91.7387	4	3	3	3	4
PB.91.7402	39	27	12	17	28
PB.91.7406	79	39	48	52	52
PB.91.7416	2	1	1	1	1
PB.91.7419	37	23	18	40	83
PB.91.7466	4	2	1	9	19
PB.92.18	19	2	2	26	16
PB.92.25	11	1	2	4	5
PB.94.1	41	7	4	63	52
PB.94.4	34	1	2	7	17
PB.94.32	56	21	6	31	64
PB.94.33	94	43	42	129	130
PB.94.35	27	12	19	54	41
PB.94.38	9	1	2	6	1
PB.94.53	9	3	3	18	10
PB.94.61	12	4	4	3	9
PB.94.78	3	1	1	5	2
PB.94.90	6	2	1	6	2
PB.94.171	4	1	1	6	3
PB.96.9	12	4	2	4	5
PB.96.12	3	2	5	2	1
PB.97.1	20	8	1	10	26
PB.97.2	87	46	24	109	129
PB.97.3	9	4	10	4	8
PB.97.9	3	3	3	16	6
PB.97.15	1	1	1	2	2
PB.102.3	73	7	6	46	31
PB.102.6	12	1	1	4	2
PB.102.9	13	1	1	2	8
PB.104.5	13	8	2	3	7
PB.104.12	8	4	3	3	3
PB.184.1	52	9	4	54	71
PB.184.14	3	1	1	7	7
PB.188.1	4	2	2	4	3
PB.188.6	16	2	2	15	13
PB.194.7	2	1	1	3	1
PB.196.7	135	36	33	73	95
PB.196.10	13	1	4	20	7
PB.196.12	4	3	3	11	27
PB.196.13	16	9	7	54	92
PB.196.14	25	7	5	34	68
PB.196.15	65	19	14	94	87
PB.196.37	2	2	1	3	5
PB.205.1	109	39	13	152	159
PB.205.2	15	1	1	6	8
PB.205.3	14	6	11	10	5
PB.205.4	6	3	3	10	5
PB.205.10	5	3	1	8	1
PB.205.64	2	3	3	5	5
PB.217.51	2	1	1	6	11
PB.219.3	6	5	4	13	6
PB.219.5	4	3	2	6	6
PB.219.8	4	5	1	5	11
PB.219.14	1	3	1	3	1
PB.219.18	55	34	24	61	68
PB.219.58	8	6	2	18	5
PB.228.6	1	3	1	1	1
PB.230.1	168	47	45	39	76
PB.230.2	72	14	47	2	26
PB.230.33	2	1	1	1	2
PB.238.5	222	110	68	249	272
PB.238.84	3	2	1	2	2
PB.238.90	16	4	1	9	10
PB.238.102	30	4	13	12	4
PB.238.107	31	4	8	15	12
PB.238.120	3	1	2	2	4
PB.238.130	7	9	5	10	11
PB.238.142	4	2	1	2	1
PB.238.145	9	10	11	13	7
PB.252.1	18	15	7	43	93
PB.252.36	1	1	1	2	1
PB.252.49	12	3	2	9	7
PB.252.56	27	7	11	35	44
PB.252.84	4	3	2	2	2
PB.252.108	1	1	1	1	3
PB.252.120	9	6	3	6	14
PB.252.130	8	8	1	65	11
PB.252.190	17	9	5	9	21
PB.252.192	1	1	1	2	2
PB.252.198	5	2	1	8	1
PB.252.207	157	21	49	90	69
PB.252.208	9	6	1	12	3
PB.252.229	2	3	3	1	3
PB.252.230	3	1	1	4	2
PB.252.234	3	1	2	8	7
PB.252.241	14	3	1	11	3
PB.252.277	9	1	4	15	3
PB.252.280	4	1	1	12	2
PB.252.305	13	9	4	9	12
PB.252.306	1	1	1	1	2
PB.252.319	9	7	3	3	4
PB.257.7	13	3	5	8	10
PB.257.8	21	5	7	7	11
PB.257.9	47	14	7	46	48
PB.257.10	37	4	6	14	5
PB.257.76	15	5	2	4	9
PB.261.31	59	25	19	35	59
PB.261.32	159	82	53	94	140
PB.261.93	9	5	1	5	6
PB.261.96	33	2	8	11	15
PB.261.106	18	1	2	4	4
PB.282.63	1	2	1	1	1
PB.289.2	1	6	1	1	1
PB.315.5	1	2	1	3	3
PB.320.1	19	13	9	37	57
PB.320.2	33	24	15	40	38
PB.320.4	8	5	5	6	5
PB.320.75	1	2	3	5	5
PB.320.102	7	3	1	9	7
PB.320.117	7	1	2	9	4
PB.320.123	3	6	2	7	11
PB.320.135	9	1	1	10	5
PB.320.137	11	8	2	6	3
PB.320.139	12	1	1	8	6
PB.320.174	4	2	1	2	1
PB.320.176	4	3	2	13	3
PB.320.196	2	1	1	7	1
PB.320.237	18	6	5	15	12
PB.320.256	10	3	6	18	13
PB.322.3	6	6	1	2	2
PB.322.6	3	1	4	4	3
PB.329.9	10	4	3	4	10
PB.329.43	4	4	3	6	1
PB.329.84	3	1	1	4	1
PB.329.112	2	1	1	1	1
PB.329.115	26	8	11	16	26
PB.329.152	1	1	1	3	2
PB.329.154	14	4	9	10	2
PB.336.52	601	233	152	490	1174
PB.336.156	5	3	1	4	27
PB.336.177	5	4	2	9	15
PB.336.178	45	23	3	22	61
PB.336.268	64	24	18	34	45
PB.336.279	77	19	22	75	75
PB.336.295	3050	1630	1382	6190	5094
PB.336.302	8	1	6	22	23
PB.336.311	5	1	1	2	7
PB.336.314	1	1	1	1	1
PB.336.336	2	1	4	3	11
PB.336.375	6	1	2	4	2
PB.336.500	13504	6343	4508	17276	19183
PB.336.501	24	11	12	25	53
PB.336.502	7	6	1	16	12
PB.336.503	447	154	87	365	669
PB.336.508	11	2	5	5	7
PB.336.509	63	41	25	60	111
PB.336.510	22	12	1	7	17
PB.336.513	17	9	11	9	8
PB.336.514	1	1	2	1	4
PB.336.515	7	3	6	28	17
PB.336.519	10	2	2	7	6
PB.336.520	5	4	1	5	5
PB.336.526	6	1	3	4	6
PB.336.528	27	11	16	12	22
PB.336.529	10	2	1	2	11
PB.336.561	6	1	1	1	6
PB.336.568	3	1	1	4	5
PB.336.695	25	2	2	12	10
PB.336.712	19	9	6	6	8
PB.336.723	15	4	4	12	9
PB.336.724	16	7	5	9	13
PB.336.725	37	10	11	16	17
PB.336.728	4	2	1	2	1
PB.336.747	7	1	2	4	7
PB.336.752	4	3	3	1	1
PB.336.756	27	7	7	3	2
PB.336.774	72	29	42	18	7
PB.336.787	23	16	11	5	4
PB.336.797	23	18	17	4	2
PB.336.801	15	20	4	5	4
PB.336.808	116	49	33	168	255
PB.336.908	22	4	5	14	9
PB.336.910	26	2	3	5	4
PB.336.911	176	86	34	105	114
PB.336.914	23	9	7	6	8
PB.336.953	9	2	2	4	4
PB.336.960	68	10	13	14	12
PB.336.961	6	3	3	2	4
PB.336.970	17	4	1	6	1
PB.336.978	90	32	14	35	34
PB.336.981	3	1	1	2	4
PB.336.983	8	4	1	9	7
PB.336.988	12	8	11	17	22
PB.336.996	42	10	12	16	9
PB.336.997	6	1	1	1	1
PB.336.1010	24	7	4	11	7
PB.341.6	1	2	2	1	1
PB.341.29	149	71	54	56	17
PB.341.31	31	16	8	11	3
PB.341.41	38	21	8	24	18
PB.341.47	22	23	12	7	6
PB.341.97	5	5	4	1	1
PB.341.121	32	7	3	8	2
PB.341.159	4	1	1	3	1
PB.341.175	6	4	3	4	2
PB.341.176	3	1	2	1	1
PB.341.228	3	1	2	5	1
PB.344.1	63	20	37	127	180
PB.344.60	9	6	7	15	7
PB.344.68	3	7	3	4	8
PB.344.80	7	2	2	15	3
PB.344.82	156	102	62	101	121
PB.344.381	6	2	1	2	6
PB.344.383	76	35	17	105	56
PB.344.384	18	12	11	35	21
PB.344.385	9	3	7	24	3
PB.344.386	3	1	8	9	5
PB.344.388	1	1	1	2	1
PB.344.433	79	29	27	136	85
PB.344.503	4	1	3	2	1
PB.344.520	8	1	1	6	4
PB.344.532	1	3	1	6	3
PB.344.538	1	2	3	6	5
PB.344.551	5	4	3	9	6
PB.344.572	13	10	1	24	7
PB.344.578	9	2	2	9	4
PB.344.580	5	3	1	6	2
PB.344.607	17	4	2	15	15
PB.344.638	53	26	13	63	80
PB.344.639	25	8	11	22	53
PB.344.640	14	8	3	5	13
PB.344.697	15	4	4	21	5
PB.344.705	32	21	9	20	16
PB.344.712	7	2	1	11	12
PB.344.721	10	4	2	3	4
PB.344.734	10	6	2	11	6
PB.344.740	18	5	5	4	2
PB.344.754	8	2	1	6	2
PB.344.759	1	1	1	9	2
PB.344.770	1	2	1	1	1
PB.344.778	7	3	1	5	5
PB.344.801	167	83	123	127	101
PB.344.815	21	7	2	10	7
PB.344.827	5	2	5	6	1
PB.344.837	10	3	3	17	5
PB.344.838	4	5	5	2	4
PB.344.840	28	11	6	14	16
PB.344.847	48	26	20	33	20
PB.344.865	12	6	4	2	7
PB.352.11	14	5	1	8	1
PB.352.13	20	14	3	31	8
PB.354.3	90	42	35	139	222
PB.355.3	5	1	1	4	1
PB.355.20	1	2	1	3	2
PB.355.43	43	25	15	28	56
PB.355.53	28	12	8	8	10
PB.355.56	7	1	4	2	4
PB.355.64	33	17	8	33	13
PB.355.65	2	3	1	3	2
PB.357.20	27	5	4	26	13
PB.357.21	12	5	7	11	9
PB.357.143	27	6	7	16	9
PB.357.146	10	6	3	12	5
PB.357.150	5	1	4	3	3
PB.357.186	23	11	16	10	9
PB.357.192	11	6	8	11	9
PB.357.207	15	7	11	16	5
PB.357.217	4	4	6	12	1
PB.357.237	53	14	15	37	13
PB.357.238	56	23	16	59	76
PB.357.240	7	6	12	15	16
PB.357.242	17	8	8	18	14
PB.357.250	24	14	2	23	22
PB.357.265	4	2	3	7	7
PB.357.272	20	12	5	13	9
PB.357.294	3	1	1	1	1
PB.357.321	5	1	2	4	4
PB.357.400	28	16	4	8	5
PB.357.410	77	24	36	17	17
PB.357.412	22	11	10	26	50
PB.357.413	8	2	3	3	6
PB.357.414	82	19	35	23	18
PB.357.416	12	10	3	9	4
PB.357.419	20	8	4	12	13
PB.357.420	49	15	5	39	42
PB.357.424	22	10	2	15	22
PB.357.464	22	14	3	28	24
PB.357.467	1	1	1	1	1
PB.357.481	12	2	11	23	12
PB.357.504	203	60	96	314	236
PB.357.507	17	7	6	8	17
PB.357.510	66	8	15	14	14
PB.357.518	6	4	10	5	9
PB.357.526	8	5	2	5	8
PB.357.533	4	1	4	1	2
PB.357.534	1	1	1	1	1
PB.357.546	6	2	6	3	4
PB.357.657	5	2	6	3	1
PB.357.675	2	1	1	1	3
PB.360.2	98	47	43	100	141
PB.360.80	15	3	7	7	20
PB.360.89	25	9	2	18	20
PB.360.108	1	2	1	1	4
PB.360.115	10	2	3	11	5
PB.360.129	3	1	1	11	2
PB.360.132	2	1	1	1	2
PB.360.137	10	2	2	4	5
PB.360.146	1	2	2	4	1
PB.360.164	7	1	1	3	1
PB.360.194	5	5	1	3	3
PB.360.200	5	1	1	1	1
PB.360.215	15	3	3	7	4
PB.360.220	66	13	24	4	12
PB.360.225	3	2	1	1	1
PB.360.227	7	3	1	3	2
PB.360.247	11	6	5	26	7
PB.360.255	14	5	1	10	10
PB.360.264	21	25	14	26	17
PB.360.276	4	2	1	1	1
PB.360.311	12	5	10	2	3
PB.360.393	11	3	4	8	7
PB.360.396	51	13	10	93	26
PB.360.405	14	5	5	21	12
PB.360.415	24	16	13	29	30
PB.360.419	8	4	1	12	5
PB.360.425	29	14	6	62	10
PB.360.442	6	4	4	4	4
PB.360.450	26	6	4	44	7
PB.360.469	3	4	2	15	4
PB.360.478	43	21	19	74	24
PB.360.483	12	2	1	7	1
PB.360.487	12	10	6	17	6
PB.360.505	2	2	1	7	4
PB.360.519	12	5	3	11	12
PB.361.10	15	3	5	13	3
PB.365.3	1437	490	586	1577	1545
PB.365.6	107	63	51	71	96
PB.365.7	429	121	138	336	318
PB.365.8	71	36	33	72	51
PB.365.10	3	2	3	6	2
PB.365.11	27	17	9	4	8
PB.365.12	7	1	2	5	10
PB.365.16	28	11	20	15	8
PB.365.19	14	2	1	5	4
PB.365.22	3	1	1	5	3
PB.365.29	4	1	2	10	4
PB.365.33	1	1	1	1	1
PB.365.41	4	3	2	2	4
PB.365.83	13	2	3	10	4
PB.365.145	10	3	2	10	3
PB.365.174	22	10	4	20	12
PB.365.180	6	1	1	6	3
PB.365.194	1	1	1	4	2
PB.365.195	9	10	4	20	17
PB.365.200	5	1	1	2	1
PB.365.211	4	1	1	4	2
PB.365.307	3	1	1	5	3
PB.365.334	4	4	2	7	7
PB.365.336	5	2	1	12	3
PB.365.341	11	1	2	13	12
PB.365.343	6	2	4	4	4
PB.365.348	8	3	1	8	5
PB.365.370	3	1	1	2	1
PB.365.375	11	5	6	20	6
PB.365.376	8	1	1	3	2
PB.365.379	28	11	1	21	13
PB.365.392	2	1	1	4	1
PB.365.393	5	1	1	3	1
PB.365.395	4	1	2	9	3
PB.365.396	7	8	1	12	8
PB.365.405	4	1	2	11	2
PB.365.408	8	3	1	5	2
PB.365.409	1	2	1	4	3
PB.365.410	8	1	1	5	4
PB.365.413	10	4	2	7	6
PB.365.419	5	1	1	5	5
PB.365.427	15	6	5	27	12
PB.365.462	2	1	1	1	4
PB.365.487	7	2	3	4	4
PB.365.512	3	2	2	4	1
PB.365.524	5	1	1	1	3
PB.365.541	9	1	1	5	9
PB.365.565	4	3	2	6	1
PB.365.568	16	1	5	19	8
PB.365.578	4	2	2	3	2
PB.369.5	32	11	5	20	9
PB.369.11	22	9	11	7	9
PB.400.3	7	3	3	11	4
PB.409.105	1	1	1	3	1
PB.419.1	2	1	4	6	3
PB.420.1	4	1	7	8	2
PB.505.1	5	3	1	1	1
PB.505.8	1	2	1	1	1
PB.506.31	2	1	1	2	2
PB.507.4	6	4	1	3	2
PB.511.27	23	10	6	5	5
PB.513.2	5	3	1	4	2
PB.515.13	47	11	10	12	20
PB.515.22	19	7	7	10	2
PB.515.30	28	17	7	10	6
PB.515.32	16	9	5	6	3
PB.515.55	14	5	4	10	5
PB.515.96	4	1	2	1	1
PB.515.101	2	1	3	1	2
PB.515.137	28	13	6	6	6
PB.515.138	8	6	3	5	2
PB.515.139	3	2	2	2	2
PB.515.161	2	1	1	2	2
PB.515.176	5	4	2	4	1
PB.515.179	14	5	1	4	1
PB.515.181	10	4	4	2	2
PB.515.214	25	18	5	13	12
PB.515.219	448	124	125	286	241
PB.515.220	20	14	5	47	19
PB.515.221	31	11	11	60	47
PB.515.222	143	83	86	277	261
PB.515.226	38	13	9	6	5
PB.515.227	13	7	4	2	3
PB.515.228	5	2	1	1	3
PB.515.229	9	3	5	7	2
PB.515.235	20	3	3	5	2
PB.515.244	1	2	1	8	1
PB.515.252	8	2	1	6	4
PB.515.410	374	106	88	93	93
PB.515.411	17	7	8	2	6
PB.515.415	67	10	22	7	11
PB.515.417	9	4	7	7	3
PB.515.420	47	11	10	4	8
PB.515.421	2	1	2	3	1
PB.515.422	25	9	8	7	4
PB.515.425	54	10	24	15	9
PB.515.427	40	8	12	2	3
PB.515.429	10	1	2	3	4
PB.515.431	28	7	10	5	6
PB.515.433	40	11	8	8	10
PB.515.436	13	3	7	3	6
PB.515.441	11	3	2	1	9
PB.515.479	193	67	52	46	94
PB.515.502	16	6	5	4	6
PB.515.514	16	1	1	1	2
PB.515.545	14	6	2	10	5
PB.515.589	13	10	1	7	11
PB.515.593	16	2	1	3	4
PB.515.597	5	3	1	2	2
PB.515.600	4	2	1	1	3
PB.515.603	4	2	2	2	2
PB.515.606	1	2	1	1	1
PB.515.612	43	13	7	23	13
PB.515.660	8	4	4	4	1
PB.515.665	17	11	8	8	12
PB.515.670	16	5	4	6	6
PB.515.672	3	1	1	1	2
PB.515.683	50	14	17	14	14
PB.515.696	5	6	2	1	1
PB.515.697	12	4	6	1	5
PB.515.702	24	1	1	1	5
PB.515.705	28	9	8	8	11
PB.515.708	5	3	3	14	1
PB.515.712	4	4	1	5	2
PB.515.721	31	12	6	13	13
PB.515.722	35	22	4	14	28
PB.515.724	17	5	4	11	3
PB.515.725	10	1	2	5	5
PB.515.727	6	3	4	6	2
PB.515.733	17	5	1	5	12
PB.515.734	15	4	2	1	6
PB.515.763	13	4	4	3	6
PB.515.769	11	1	2	4	2
PB.515.778	11	1	2	4	2
PB.515.782	4	1	1	1	1
PB.515.796	12	3	1	2	5
PB.515.798	47	25	13	13	14
PB.515.800	6	2	4	1	1
PB.515.869	2	1	1	2	1
PB.518.100	8	2	4	4	4
PB.518.116	18	1	3	9	5
PB.518.118	4	1	2	2	1
PB.518.119	4	2	1	1	2
PB.518.139	8	4	1	3	3
PB.518.148	10	3	1	13	8
PB.518.202	15	1	1	20	17
PB.518.217	2	1	1	9	7
PB.518.228	6	1	1	34	42
PB.518.259	4	1	1	25	12
PB.518.362	170	42	32	580	1535
PB.518.409	10	1	1	68	154
PB.518.421	28	3	3	48	127
PB.518.438	10	1	2	24	71
PB.518.453	47	5	4	38	92
PB.518.454	20	2	5	10	33
PB.518.495	21	5	4	12	25
PB.518.520	58	12	3	106	198
PB.518.528	53	11	4	139	311
PB.518.533	24	1	3	106	86
PB.518.543	28	2	2	26	34
PB.518.549	20	2	3	17	25
PB.518.559	2	1	2	6	8
PB.518.561	100	15	2	239	225
PB.518.581	50	3	2	51	70
PB.518.598	33	1	4	46	65
PB.518.604	24	4	1	26	24
PB.518.613	3	1	2	7	6
PB.518.615	120	23	9	70	119
PB.518.623	5	1	1	9	5
PB.518.627	23	1	3	18	12
PB.518.633	27	4	2	6	5
PB.518.635	29	2	5	16	15
PB.518.638	18	3	1	23	9
PB.518.641	18	1	2	20	7
PB.518.644	35	4	2	49	13
PB.518.648	7	1	2	9	3
PB.536.2	529	265	171	782	1237
PB.536.3	3	3	1	5	9
PB.536.26	42	12	7	22	26
PB.536.27	2409	1186	1103	3531	3533
PB.536.28	6	2	4	4	2
PB.536.29	191	25	16	49	62
PB.536.30	6	4	6	1	1
PB.536.31	167	31	27	49	47
PB.536.32	10	6	3	19	30
PB.536.34	51	13	11	24	19
PB.536.35	3374	1763	1542	4263	4244
PB.536.37	74	26	9	16	35
PB.536.38	5	2	1	8	7
PB.536.39	16	6	1	11	16
PB.536.40	3	2	1	4	5
PB.536.41	13	10	4	19	30
PB.536.46	18	10	4	20	23
PB.536.48	63	11	13	12	14
PB.536.50	10	2	1	2	6
PB.536.53	6	7	4	12	3
PB.536.57	2	3	4	2	1
PB.536.58	15	10	10	14	15
PB.536.107	7	4	2	3	2
PB.536.121	9	1	3	8	7
PB.536.125	11	3	1	2	1
PB.536.131	1	3	2	3	1
PB.536.136	8	2	4	4	5
PB.536.140	11	6	3	13	9
PB.536.371	5	1	1	1	5
PB.536.388	1	5	1	4	6
PB.536.420	3	1	1	3	1
PB.536.452	11	1	1	15	6
PB.536.462	3	1	1	31	27
PB.536.463	1	1	1	4	7
PB.546.2	5	2	7	4	4
PB.546.3	51	33	23	32	70
PB.546.4	6	2	1	1	2
PB.546.6	2	5	9	3	9
PB.546.8	8	2	3	6	7
PB.546.74	1	2	1	3	4
PB.546.84	5	2	2	5	1
PB.551.74	7	5	1	12	7
PB.551.92	11	2	2	2	3
PB.551.104	166	87	41	297	324
PB.551.105	51	28	17	41	43
PB.551.171	11	5	1	5	9
PB.551.174	17	9	9	27	19
PB.551.178	32	15	4	21	36
PB.551.180	67	36	19	46	66
PB.551.181	12	4	1	8	9
PB.551.184	4	3	1	2	1
PB.551.210	26	5	3	13	9
PB.551.297	9	3	3	13	5
PB.551.311	15	4	1	16	10
PB.551.338	27	12	7	72	29
PB.551.367	24	6	6	32	13
PB.551.372	17	3	1	35	17
PB.551.373	10	1	1	2	2
PB.551.383	9	1	1	7	6
PB.551.384	4	2	1	8	3
PB.551.386	11	5	4	20	6
PB.551.392	6	1	1	6	3
PB.551.423	60	19	5	56	60
PB.551.431	13	5	3	21	17
PB.551.435	3	2	3	7	3
PB.551.438	8	5	2	9	5
PB.551.455	12	2	1	10	4
PB.551.462	30	13	11	34	22
PB.551.468	15	6	1	8	13
PB.551.471	17	8	2	23	22
PB.551.472	6	1	2	6	5
PB.551.475	49	20	6	52	34
PB.551.499	14	6	1	7	15
PB.551.530	1	3	1	2	3
PB.551.532	35	15	2	47	29
PB.551.535	24	8	2	29	11
PB.551.539	53	45	12	96	47
PB.551.547	1	1	1	1	2
PB.551.562	109	30	31	107	83
PB.551.572	18	10	3	35	40
PB.551.576	14	8	1	11	13
PB.551.577	8	5	1	3	3
PB.551.592	6	1	1	2	1
PB.551.619	1	1	1	1	1
PB.551.620	3	1	1	7	5
PB.551.632	6	1	2	5	4
PB.551.644	3	1	1	3	2
PB.551.700	7	4	1	5	10
PB.551.701	9	3	3	20	13
PB.551.714	3	1	1	6	24
PB.551.739	5	1	1	6	5
PB.551.742	14	7	3	34	21
PB.551.745	11	4	1	17	9
PB.551.746	12	3	4	12	9
PB.551.750	43	17	4	39	44
PB.551.756	32	14	3	40	25
PB.551.759	18	6	3	42	16
PB.551.765	2	2	1	9	3
PB.551.788	5	2	3	22	4
PB.551.810	28	16	8	44	28
PB.551.816	9	4	1	10	2
PB.551.819	20	4	3	21	7
PB.551.823	2	3	1	3	3
PB.551.826	22	3	1	15	9
PB.551.836	32	9	2	42	25
PB.551.840	21	9	2	19	12
PB.551.849	8	5	1	2	3
PB.551.865	10	1	1	6	1
PB.551.871	1	2	1	4	1
PB.551.900	2	2	1	3	2
PB.551.904	8	1	1	14	8
PB.551.907	7	2	2	10	8
PB.551.922	7	1	2	3	3
PB.551.926	2	1	1	2	1
PB.551.932	32	6	7	22	31
PB.551.936	19	3	3	25	16
PB.551.960	7	1	2	8	2
PB.551.995	8	2	1	8	4
PB.551.1049	15	4	4	16	5
PB.551.1058	1	1	1	3	4
PB.551.1060	17	9	4	30	14
PB.551.1063	2	1	2	2	16
PB.551.1088	19	7	2	20	8
PB.551.1090	3	1	2	1	10
PB.551.1099	21	2	5	18	4
PB.551.1140	7	1	1	2	2
PB.551.1151	21	5	2	33	21
PB.551.1165	15	10	4	22	12
PB.551.1172	20	8	7	25	15
PB.551.1186	25	8	2	25	11
PB.551.1192	14	6	3	19	14
PB.551.1201	18	6	3	18	9
PB.551.1225	19	11	2	21	15
PB.551.1230	13	3	3	11	8
PB.551.1232	13	3	2	4	4
PB.551.1237	9	6	1	14	4
PB.551.1248	2	1	2	2	4
PB.551.1257	10	5	2	10	3
PB.551.1262	10	2	1	8	2
PB.551.1289	21	9	4	36	39
PB.551.1330	1	1	1	1	1
PB.551.1354	5	4	1	9	4
PB.551.1365	25	1	4	18	23
PB.551.1377	42	14	3	29	14
PB.551.1389	8	2	1	3	8
PB.551.1411	12	4	1	7	12
PB.551.1416	12	4	1	7	6
PB.551.1422	30	14	7	31	26
PB.551.1462	12	3	1	6	9
PB.551.1476	27	2	3	6	3
PB.551.1482	42	20	5	40	35
PB.551.1487	41	13	5	38	18
PB.551.1493	10	5	2	4	6
PB.551.1510	7	4	2	6	9
PB.551.1543	30	13	1	26	14
PB.551.1553	18	4	1	24	17
PB.551.1560	13	3	2	24	10
PB.551.1566	15	4	2	14	9
PB.551.1605	4	2	1	6	4
PB.551.1608	17	2	3	3	8
PB.551.1619	27	8	7	17	16
PB.551.1631	14	2	1	5	15
PB.551.1655	5	2	1	1	1
PB.551.1670	1	1	1	1	1
PB.551.1688	2	2	1	2	1
PB.551.1697	8	4	2	6	4
PB.551.1708	14	5	4	14	6
PB.551.1727	14	5	1	11	6
PB.551.1733	8	3	1	7	7
PB.551.1781	494	133	187	186	144
PB.551.1782	154	35	63	70	80
PB.551.1783	10	6	1	3	2
PB.551.1882	6	1	3	2	1
PB.551.1913	1	3	1	2	2
PB.551.1929	11	1	4	5	4
PB.551.1951	12	7	4	19	8
PB.551.1953	1	1	1	1	4
PB.551.1956	31	13	3	27	18
PB.551.1958	8	2	5	5	5
PB.551.1976	28	13	5	19	26
PB.551.1980	27	8	4	10	10
PB.551.2015	15	7	1	18	2
PB.551.2024	16	5	1	7	7
PB.551.2027	17	2	2	9	7
PB.551.2101	3	2	1	4	3
PB.551.2112	23	6	4	10	9
PB.551.2125	10	8	6	5	6
PB.551.2144	4	2	1	1	2
PB.551.2154	28	26	7	36	16
PB.551.2162	19	9	5	18	6
PB.551.2166	5	3	1	2	5
PB.551.2168	11	3	3	14	4
PB.551.2170	21	13	4	23	7
PB.551.2200	21	10	4	17	16
PB.551.2223	32	18	5	31	25
PB.551.2238	25	1	4	8	7
PB.551.2241	16	3	3	6	9
PB.551.2270	10	3	2	9	7
PB.551.2281	8	1	1	1	4
PB.551.2294	2	2	5	15	7
PB.551.2308	8	1	4	2	2
PB.551.2334	11	1	1	3	7
PB.551.2350	17	2	2	13	5
PB.551.2356	20	2	1	10	7
PB.551.2357	5	5	3	6	10
PB.551.2362	12	8	1	14	8
PB.551.2386	8	4	1	7	7
PB.551.2393	8	2	1	6	5
PB.551.2396	6	1	1	5	4
PB.551.2400	5	1	1	5	2
PB.551.2406	21	7	2	14	12
PB.551.2415	13	4	1	21	8
PB.551.2429	4	3	1	3	2
PB.551.2431	11	2	2	7	6
PB.551.2437	14	4	1	5	2
PB.551.2439	13	5	2	3	1
PB.551.2467	4	2	2	3	7
PB.551.2469	7	4	3	5	3
PB.551.2486	3	2	3	4	1
PB.551.2524	5	4	1	6	5
PB.551.2531	11	8	2	3	10
PB.551.2571	11	2	1	4	4
PB.551.2573	24	14	5	32	13
PB.551.2575	14	4	1	8	5
PB.551.2582	13	1	2	10	3
PB.551.2589	67	12	14	24	12
PB.551.2595	8	3	1	3	5
PB.551.2596	7	3	4	3	4
PB.551.2598	10	4	1	1	3
PB.551.2601	38	10	12	27	16
PB.551.2602	8	2	3	1	2
